特征,AUC置换重要性均值,AUC置换重要性标准差
血尿酸,0.3358294930875575,0.040076823859509066
性别,0.010246679316887964,0.0027809759883636034
BMI,0.0046354025481159244,0.0029251901232124843
气虚质积分,0.004601518026565376,0.004691943094503883
年龄组,0.002849688262401645,0.002412661216547387
平和质积分,0.002768365410680296,0.0025224540017417347
湿热质积分,0.0024667931688803655,0.0027369298072038133
饮酒史,0.001321496340471584,0.0013227121486257068
活动量表总分,0.000986039577121073,0.0029526992299426414
痰湿质积分,0.000911493629709853,0.0016682028255440356
吸烟史,3.3884521549343296e-06,0.0015015813993341938
阴虚质积分,-0.0005997560314449479,0.0015409486797283518
血糖,-0.0014299268094335516,0.005606834828761221
特禀质积分,-0.0014807535917593984,0.0019802335883105184
血瘀质积分,-0.004025481160206129,0.003002971633982735
阳虚质积分,-0.0041406885334779875,0.002395604520749889
气郁质积分,-0.01457034426673905,0.009447451853946551
