场景,痰湿高阈值,痰湿极高阈值,低活动阈值,风险等级,人数,占比,实际患病率
基准,60,80,40,低危,21,0.07,0.0
基准,60,80,40,中危,247,0.8233333333333334,0.8340080971659919
基准,60,80,40,高危,32,0.10666666666666667,1.0
痰湿高阈值-5,55,80,40,低危,17,0.056666666666666664,0.0
痰湿高阈值-5,55,80,40,中危,218,0.7266666666666667,0.7935779816513762
痰湿高阈值-5,55,80,40,高危,65,0.21666666666666667,1.0
痰湿高阈值+5,65,80,40,低危,25,0.08333333333333333,0.0
痰湿高阈值+5,65,80,40,中危,272,0.9066666666666666,0.8639705882352942
痰湿高阈值+5,65,80,40,高危,3,0.01,1.0
痰湿极高阈值-5,60,75,40,低危,21,0.07,0.0
痰湿极高阈值-5,60,75,40,中危,247,0.8233333333333334,0.8340080971659919
痰湿极高阈值-5,60,75,40,高危,32,0.10666666666666667,1.0
痰湿极高阈值+5,60,85,40,低危,21,0.07,0.0
痰湿极高阈值+5,60,85,40,中危,247,0.8233333333333334,0.8340080971659919
痰湿极高阈值+5,60,85,40,高危,32,0.10666666666666667,1.0
低活动阈值-5,60,80,35,低危,21,0.07,0.0
低活动阈值-5,60,80,35,中危,247,0.8233333333333334,0.8340080971659919
低活动阈值-5,60,80,35,高危,32,0.10666666666666667,1.0
低活动阈值+5,60,80,45,低危,16,0.05333333333333334,0.0
低活动阈值+5,60,80,45,中危,252,0.84,0.8174603174603174
低活动阈值+5,60,80,45,高危,32,0.10666666666666667,1.0
