叶节点,规则路径,患者人数,代理首月活动强度,代理首月每周次数,叶节点联合一致率,实际处方分布,首月成本中位数,六个月成本中位数,六个月成本Q1,六个月成本Q3,降低分数中位数,降低分数Q1,降低分数Q3,降低比例中位数
3,年龄组≤4.500 且 活动量表总分≤39.500 → 叶节点3,39,1,10,0.9230769230769231,1级-10次/周:36；1级-9次/周:3,200.0,914.0,852.0,1002.0,15.0,14.0,15.0,0.2421875
7,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分>58.500 且 初始痰湿积分≤59.500 → 叶节点7,21,1,9,0.9523809523809523,1级-9次/周:20；3级-10次/周:1,188.0,1258.0,1258.0,1258.0,21.0,21.0,21.0,0.3559322033898305
11,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分>58.500 且 初始痰湿积分>59.500 且 初始痰湿积分>61.500 且 初始痰湿积分≤63.500 → 叶节点11,34,2,10,0.9705882352941176,2级-10次/周:33；3级-10次/周:1,330.0,1320.0,1320.0,1320.0,22.5,22.5,22.5,0.3629032258064516
12,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分>58.500 且 初始痰湿积分>59.500 且 初始痰湿积分>61.500 且 初始痰湿积分>63.500 → 叶节点12,23,2,9,0.6086956521739131,2级-9次/周:14；2级-10次/周:8；3级-9次/周:1,310.0,1350.0,1350.0,1358.0,22.5,22.5,23.0,0.3515625
13,年龄组>4.500 且 初始痰湿积分≤59.500 → 叶节点13,23,1,10,1.0,1级-10次/周:23,150.0,852.0,852.0,914.0,13.5,13.5,14.5,0.24545454545454545
14,年龄组>4.500 且 初始痰湿积分>59.500 → 叶节点14,30,1,10,0.5333333333333333,1级-10次/周:16；1级-9次/周:14,238.0,1002.0,902.0,1002.0,15.0,14.5,15.0,0.24166666666666667
16,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分≤58.500 且 初始痰湿积分>57.500 → 叶节点16,23,2,10,0.8695652173913043,2级-10次/周:20；3级-10次/周:3,230.0,1240.0,1240.0,1240.0,21.0,21.0,21.0,0.3620689655172414
18,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分≤58.500 且 初始痰湿积分≤57.500 且 初始痰湿积分>56.500 → 叶节点18,19,1,10,0.9473684210526315,1级-10次/周:18；2级-10次/周:1,150.0,1200.0,1200.0,1200.0,20.5,20.5,20.5,0.35964912280701755
19,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分>58.500 且 初始痰湿积分>59.500 且 初始痰湿积分≤61.500 且 活动量表总分≤47.500 → 叶节点19,14,2,10,0.5714285714285714,2级-10次/周:8；2级-9次/周:6,280.0,1258.0,1258.0,1290.0,21.5,21.5,22.0,0.35833333333333334
20,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分>58.500 且 初始痰湿积分>59.500 且 初始痰湿积分≤61.500 且 活动量表总分>47.500 → 叶节点20,23,2,9,0.7391304347826086,2级-9次/周:17；2级-10次/周:5；3级-10次/周:1,260.0,1290.0,1290.0,1290.0,22.0,22.0,22.0,0.36065573770491804
21,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分≤58.500 且 初始痰湿积分≤57.500 且 初始痰湿积分≤56.500 且 活动量表总分≤52.500 → 叶节点21,15,2,10,1.0,2级-10次/周:15,230.0,1220.0,1200.0,1220.0,20.0,19.5,20.0,0.35714285714285715
22,年龄组≤4.500 且 活动量表总分>39.500 且 初始痰湿积分≤58.500 且 初始痰湿积分≤57.500 且 初始痰湿积分≤56.500 且 活动量表总分>52.500 → 叶节点22,14,2,10,0.7857142857142857,2级-10次/周:11；1级-10次/周:3,230.0,1220.0,1200.0,1220.0,20.0,19.5,20.0,0.35714285714285715
