核心特征组合,覆盖人数,高危人数,总体支持度,高危组支持度,高危置信度,置信度95%CI下限,置信度95%CI上限,提升度
痰湿体质 + 痰湿积分≥60 + 尿酸异常,27,24,0.09,0.47058823529411764,0.8888888888888888,0.7323183544530141,0.9676928062151732,1.4640522875816995
痰湿体质 + 活动总分<40 + 尿酸异常,14,12,0.04666666666666667,0.23529411764705882,0.8571428571428571,0.6151056803926378,0.9690778724652457,1.411764705882353
痰湿体质 + 尿酸异常,55,47,0.18333333333333332,0.9215686274509803,0.8545454545454545,0.7442245960272317,0.9287516365707025,1.4074866310160428
痰湿体质 + 血糖异常 + 尿酸异常,17,14,0.056666666666666664,0.27450980392156865,0.8235294117647058,0.5998773373766859,0.9476523429493261,1.3564013840830451
痰湿体质 + 尿酸异常 + 饮酒史,32,26,0.10666666666666667,0.5098039215686274,0.8125,0.6537045856660042,0.9177315864830152,1.3382352941176472
痰湿体质 + 尿酸异常 + 年龄≥60岁,28,22,0.09333333333333334,0.43137254901960786,0.7857142857142857,0.6105769071843492,0.9052515805413207,1.2941176470588236
痰湿体质 + 尿酸异常 + 吸烟史,32,25,0.10666666666666667,0.49019607843137253,0.78125,0.6178040479087059,0.8964390952027917,1.286764705882353
痰湿体质 + 活动总分<40 + 吸烟史,9,7,0.03,0.13725490196078433,0.7777777777777778,0.45617556688065247,0.9506980770234059,1.281045751633987
痰湿体质 + 活动总分<40,17,13,0.056666666666666664,0.2549019607843137,0.7647058823529411,0.5327787142036586,0.9149179239658778,1.259515570934256
痰湿体质 + BMI异常 + 尿酸异常,20,15,0.06666666666666667,0.29411764705882354,0.75,0.5358053707591319,0.8976015143169549,1.2352941176470589
痰湿体质 + 痰湿积分≥60 + 血糖异常,18,13,0.06,0.2549019607843137,0.7222222222222222,0.49398763075801333,0.8852240684430391,1.1895424836601307
痰湿体质 + BMI异常 + 饮酒史,17,12,0.056666666666666664,0.23529411764705882,0.7058823529411765,0.4702488279271317,0.8778335571729318,1.1626297577854674
痰湿体质 + 饮酒史,42,28,0.14,0.5490196078431373,0.6666666666666666,0.5167779459334061,0.7944598653332686,1.0980392156862746
痰湿体质 + 痰湿积分≥60 + 吸烟史,24,16,0.08,0.3137254901960784,0.6666666666666666,0.4677306040069712,0.8280358336978952,1.0980392156862746
痰湿体质 + 痰湿积分≥60 + 饮酒史,18,12,0.06,0.23529411764705882,0.6666666666666666,0.43719382047129335,0.8471543050759902,1.0980392156862746
痰湿体质 + 痰湿积分≥60 + 活动总分<40,9,6,0.03,0.11764705882352941,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0980392156862746
痰湿体质 + 活动总分<40 + 饮酒史,9,6,0.03,0.11764705882352941,0.6666666666666666,0.3477917934722658,0.8957867783392258,1.0980392156862746
痰湿体质 + 血糖异常,25,16,0.08333333333333333,0.3137254901960784,0.64,0.4449429732065493,0.8046726005428172,1.0541176470588236
痰湿体质 + 痰湿积分≥60,44,28,0.14666666666666667,0.5490196078431373,0.6363636363636364,0.4892228614660696,0.7662143531739785,1.0481283422459893
痰湿体质 + 吸烟史 + 饮酒史,27,16,0.09,0.3137254901960784,0.5925925925925926,0.4057076088351733,0.7607754928827829,0.9760348583877996
痰湿体质 + 血糖异常 + 饮酒史,12,7,0.04,0.13725490196078433,0.5833333333333334,0.31194042504011954,0.8195213052102984,0.9607843137254903
痰湿体质 + 年龄≥60岁 + 饮酒史,26,15,0.08666666666666667,0.29411764705882354,0.5769230769230769,0.38731017399890316,0.7504366251182847,0.9502262443438914
痰湿体质 + 吸烟史,47,27,0.15666666666666668,0.5294117647058824,0.574468085106383,0.4321925793797123,0.7078813982852248,0.9461827284105133
痰湿体质 + 痰湿积分≥60 + BMI异常,14,8,0.04666666666666667,0.1568627450980392,0.5714285714285714,0.3194182140775355,0.7970849768698117,0.9411764705882353
痰湿体质 + BMI异常 + 吸烟史,18,10,0.06,0.19607843137254902,0.5555555555555556,0.3321953458541417,0.762568399704806,0.9150326797385622
痰湿体质 + 活动总分<40 + 年龄≥60岁,9,5,0.03,0.09803921568627451,0.5555555555555556,0.25409386787461596,0.8270322433271518,0.9150326797385622
痰湿体质 + BMI异常 + 血糖异常,9,5,0.03,0.09803921568627451,0.5555555555555556,0.25409386787461596,0.8270322433271518,0.9150326797385622
痰湿体质 + 痰湿积分≥60 + 年龄≥60岁,29,16,0.09666666666666666,0.3137254901960784,0.5517241379310345,0.37304989387967874,0.7206301797321797,0.9087221095334687
痰湿体质 + BMI异常,30,16,0.1,0.3137254901960784,0.5333333333333333,0.358672288592008,0.7018977439287897,0.8784313725490197
痰湿体质 + 血糖异常 + 吸烟史,15,8,0.05,0.1568627450980392,0.5333333333333333,0.2938864148804002,0.761213152040942,0.8784313725490197
痰湿体质 + 血糖异常 + 年龄≥60岁,17,9,0.056666666666666664,0.17647058823529413,0.5294117647058824,0.3033259473133356,0.7463802307132269,0.8719723183391004
痰湿体质 + 年龄≥60岁,52,26,0.17333333333333334,0.5098039215686274,0.5,0.3671930379399888,0.6328069620600112,0.823529411764706
痰湿体质 + 年龄≥60岁 + 吸烟史,30,14,0.1,0.27450980392156865,0.4666666666666667,0.2981022560712103,0.6413277114079919,0.7686274509803922
痰湿体质 + BMI异常 + 年龄≥60岁,20,8,0.06666666666666667,0.1568627450980392,0.4,0.2106294139280543,0.6160796836554037,0.6588235294117648
